GENERO,EDAD,PERSONAS_EN_CONDICION_DE_DISCAPACIDAD,HOMBRES_Y_MUJERES_CABEZA_DE_FAMILIA,ADULTO_MAYOR,GRUPOS_ETNICOS_AFRO_INDIGENA,TIPO_DE_SEGURIDAD_EN_SALUD,NIVEL_EDUCATIVO_QUE_TIENE_O_CURSA,CONDICION_OCUPACIONAL,BARRIO_O_VEREDA_DE_RESIDENCIA,ZONA_DE_RESIDENCIA,PUNTAJE_VULNERABILIDAD,NIVEL_VULNERABILIDAD,RANGO_EDAD
M,29,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,CENTRAL,URBANO,0,Bajo,26-35
F,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,EL ROSAL,URBANO,0,Bajo,16-25
M,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,VILLA DEL SUR,URBANO,0,Bajo,16-25
M,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,SAN FERNANDO,URBANO,0,Bajo,16-25
M,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
F,43,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,JOSE MARIA CORDOBA,URBANO,4,Alto,36-45
M,37,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,36-45
F,38,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,36-45
F,40,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,BUSCANDO EMPLEO,BOSQUES DE CUBA,URBANO,5,Alto,36-45
M,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,BUSCANDO EMPLEO,MONTELIBANO,URBANO,3,Alto,16-25
F,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,INDEPENDIENTE,CENTENARIO,URBANO,0,Bajo,16-25
F,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,CAÑARTE,URBANO,0,Bajo,16-25
M,26,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,EMPLEADO,CIUDAD JARDIN,URBANO,0,Bajo,26-35
F,19,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,4- MEDIA ACADÉMICA O CLÁSICA,BUSCANDO EMPLEO,CUBA,URBANO,5,Alto,16-25
F,28,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,EMPLEADO,PARQUE INDUSTRIAL,URBANO,0,Bajo,26-35
M,26,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,MARAYA,URBANO,2,Bajo,26-35
M,30,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,SAMARIA II SECTOR A,URBANO,0,Bajo,26-35
F,25,NO,SI,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,OTRO MUNICIPIO,OTRO,4,Alto,16-25
F,25,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,GALICIA ALTA,RURAL,3,Alto,16-25
F,27,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,AMA DE CASA,EL LAGO,URBANO,4,Alto,26-35
F,28,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,AMA DE CASA,EL PLUMON,URBANO,4,Alto,26-35
F,37,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,CERRITOS,RURAL,1,Bajo,36-45
M,36,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,INDEPENDIENTE,CENTENARIO,URBANO,0,Bajo,36-45
F,36,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,LA BELLA,RURAL,1,Bajo,36-45
F,34,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,EMPLEADO,ROCIO BAJO,URBANO,4,Alto,26-35
M,28,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),INDEPENDIENTE,SECTOR PARQUE LA LIBERTAD,URBANO,2,Bajo,26-35
M,26,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,OTRO MUNICIPIO,OTRO,2,Bajo,26-35
M,26,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,26-35
M,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,AV. 30 DE AGOSTO  CON 44,URBANO,0,Bajo,16-25
F,77,NO,NO,SI,6 MESTIZO,REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),AMA DE CASA,SALAMANCA,URBANO,5,Alto,66-85
F,37,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,LAS BRISAS,URBANO,0,Bajo,36-45
F,19,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,13-UNIVERISITARIO,ESTUDIANTE,EL BOSQUE UTP,URBANO,2,Bajo,16-25
F,28,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,BUSCANDO EMPLEO,CENTRAL,URBANO,5,Alto,26-35
F,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,16-25
M,35,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,LA PALMERA,URBANO,0,Bajo,26-35
F,24,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,CENTRAL,URBANO,0,Bajo,16-25
F,33,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,CENTRAL,URBANO,0,Bajo,26-35
F,29,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,9- PROFESIONAL,EMPLEADO,SAMARIA,URBANO,0,Bajo,26-35
M,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,AMERICA,URBANO,0,Bajo,
M,20,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,13-UNIVERISITARIO,ESTUDIANTE,EL BOSQUE UTP,URBANO,2,Bajo,16-25
M,20,SI,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,NINGUNO,LAS BRISAS,URBANO,8,Alto,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,TOKIO I ETAPA,URBANO,2,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR PLAZA DE BOLIVAR,URBANO,2,Bajo,16-25
F,24,NO,SI,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,BUSCANDO EMPLEO,OTRO MUNICIPIO,OTRO,7,Alto,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,CENTENARIO,URBANO,0,Bajo,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,16-25
M,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,DESEMPLEADO,OTRO MUNICIPIO,OTRO,3,Alto,16-25
F,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,OTRO MUNICIPIO,OTRO,2,Bajo,16-25
F,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,INDEPENDIENTE,PARQUE INDUSTRIAL,URBANO,2,Bajo,16-25
F,17,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,5- MEDIA TÉCNICA (BACHILLERATO TÉCNICO),AMA DE CASA,SALAMANCA,URBANO,4,Alto,16-25
F,22,NO,SI,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,EMPLEADO,SAN VICENTE-VILLASANTANA,URBANO,4,Alto,16-25
F,22,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,EL NOGAL CLUB RESIDENCIAL,URBANO,0,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,16-25
F,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
F,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
M,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
F,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
F,18,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,BUSCANDO EMPLEO,AMERICA,URBANO,5,Alto,16-25
M,33,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,BUSCANDO EMPLEO,MUNDO NUEVO,RURAL,7,Alto,26-35
F,35,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,2,Bajo,26-35
M,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,POBLADO II,URBANO,0,Bajo,16-25
F,20,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,CENTRAL,URBANO,0,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,EL BOSQUE UTP,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,VEREDA CONDINA,RURAL,1,Bajo,16-25
F,19,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,LA JULITA,URBANO,2,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,8- TECNOLÓGICA,ESTUDIANTE,MIRAFLORES,URBANO,2,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,SAN NICOLAS,URBANO,0,Bajo,16-25
M,28,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,8- TECNOLÓGICA,ESTUDIANTE,CERRITOS,RURAL,3,Alto,26-35
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,DESEMPLEADO,OTRO MUNICIPIO,OTRO,3,Alto,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,ESTUDIANTE,VILLAVICENCIO,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,BUSCANDO EMPLEO,OTRO MUNICIPIO,OTRO,3,Alto,16-25
M,18,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,OTRO MUNICIPIO,OTRO,2,Bajo,16-25
F,17,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,SIN INFORMACION,OTRO MUNICIPIO,OTRO,3,Alto,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,EMPLEADO,SAMARIA,URBANO,2,Bajo,16-25
F,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,POBLADO II,URBANO,0,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,POBLADO II,URBANO,0,Bajo,16-25
M,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
M,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
F,28,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,9- PROFESIONAL,BUSCANDO EMPLEO,CENTRAL,URBANO,5,Alto,26-35
F,20,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,GALICIA BAJA,RURAL,1,Bajo,16-25
F,20,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,FAVI UTP,URBANO,2,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,ALFONSO LOPEZ PUMAREJO,URBANO,0,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,13-UNIVERISITARIO,ESTUDIANTE,EL BOSQUE UTP,URBANO,2,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,7- TÉCNICA PROFESIONAL,ESTUDIANTE,CAÑARTE,URBANO,3,Alto,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,AMA DE CASA,GALICIA BAJA,RURAL,3,Alto,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,INDEPENDIENTE,SECTOR PARQUE LA LIBERTAD,URBANO,4,Alto,16-25
SIN IDENTIDAD,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,SAN JORGE,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,JOSE ANTONIO GALAN,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,ESTUDIANTE,SALAZAR LONDOÑO,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,BUSCANDO EMPLEO,CENTRAL,URBANO,6,Alto,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,13-UNIVERISITARIO,ESTUDIANTE,BUENOS AIRES-ALTAGRACIA,RURAL,3,Alto,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,ALTAVISTA,URBANO,2,Bajo,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,EL REMANSO,URBANO,0,Bajo,16-25
F,28,NO,SI,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,AMA DE CASA,CENTRAL,URBANO,7,Alto,26-35
F,18,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,PARQUE INDUSTRIAL,URBANO,2,Bajo,16-25
F,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,8- TECNOLÓGICA,ESTUDIANTE,SAN JOAQUIN,URBANO,2,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CIUDAD JARDIN,URBANO,2,Bajo,16-25
F,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
F,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
F,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
M,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
M,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
M,16,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CIUDAD JARDIN,URBANO,2,Bajo,
M,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
M,16,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,CIUDAD JARDIN,URBANO,2,Bajo,
F,22,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,BUSCANDO EMPLEO,CENTRAL,URBANO,6,Alto,16-25
M,34,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,2- BÁSICA PRIMARIA,EMPLEADO,ORMAZA,URBANO,4,Alto,26-35
F,32,NO,SI,NO,6 MESTIZO,REGIMEN SUBSIDIADO,9- PROFESIONAL,BUSCANDO EMPLEO,OTRO MUNICIPIO,OTRO,7,Alto,26-35
F,25,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,11- MAESTRÍA,EMPLEADO,CIUDAD JARDIN,URBANO,0,Bajo,16-25
F,19,NO,SI,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,4- MEDIA ACADÉMICA O CLÁSICA,AMA DE CASA,CODELMAR I,URBANO,4,Alto,16-25
F,20,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,GUAYABAL,RURAL,1,Bajo,16-25
F,20,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,LAS PALMAS,URBANO,2,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,EL POBLADO,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,10- ESPECIALIZACIÓN,ESTUDIANTE,PEREIRA,URBANO,0,Bajo,16-25
F,19,NO,SI,NO,6 MESTIZO,REGIMEN SUBSIDIADO,9- PROFESIONAL,BUSCANDO EMPLEO,OTRO MUNICIPIO,OTRO,7,Alto,16-25
F,19,NO,SI,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,BUSCANDO EMPLEO,GIRASOLES,URBANO,7,Alto,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,13-UNIVERISITARIO,ESTUDIANTE,SECTOR PLAZA DE BOLIVAR,URBANO,0,Bajo,16-25
F,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,2- BÁSICA PRIMARIA,EMPLEADO,AV. 30 DE AGOSTO  CON 44,URBANO,2,Bajo,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,8- TECNOLÓGICA,EMPLEADO,GALICIA BAJA,RURAL,1,Bajo,16-25
M,19,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,7- TÉCNICA PROFESIONAL,EMPLEADO,OTRO MUNICIPIO,OTRO,0,Bajo,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,ALTAGRACIA,RURAL,1,Bajo,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,7- TÉCNICA PROFESIONAL,ESTUDIANTE,MUNDO NUEVO,RURAL,3,Alto,16-25
M,18,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,8- TECNOLÓGICA,EMPLEADO,VILLA KENNEDY,URBANO,2,Bajo,16-25
F,18,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,PARQUE INDUSTRIAL,URBANO,2,Bajo,16-25
F,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,16-25
F,17,NO,NO,NO,6 MESTIZO,POBLACION VINCULADA,3- BÁSICA SECUNDARIA,SIN INFORMACION,OTRO MUNICIPIO,OTRO,3,Alto,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,16-25
F,16,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,SECTOR 30 DE AGOSTO,URBANO,0,Bajo,
M,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,POBLADO II,URBANO,0,Bajo,16-25
M,17,NO,NO,NO,6 MESTIZO,REGIMEN CONTRIBUTIVO,3- BÁSICA SECUNDARIA,ESTUDIANTE,POBLADO II,URBANO,0,Bajo,16-25
F,16,NO,NO,NO,6 MESTIZO,REGIMEN SUBSIDIADO,3- BÁSICA SECUNDARIA,ESTUDIANTE,PARQUE INDUSTRIAL,URBANO,2,Bajo,
